Name	                    Künstler	    Komponist	Album	                Gruppierung	Werk	Nummer für Satz	Satzzähler	Name für Satz	Genre	Größe	    Dauer	Disc-Nummer	Anzahl der Discs	Titelnummer	Anzahl der Titel	Jahr	Geändert	    Hinzugefügt	    Datenrate	Abtastrate	Lautstärkeanpassung	Art	            Equalizer	Kommentar	Wiedergaben	Zuletzt gespielt	Übersprungen	Zuletzt übersprungen	Meine Wertung	Ort
Incomplete	                Bad Religion		        Stranger Than Fiction						                                            Punk	26356416	149	    1	        1	                1	        17	                1994	01.01.18 12:26	01.01.18 12:26	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Bad Religion:Stranger Than Fiction:01 Incomplete.aif
Leave Mine To Me	        Bad Religion		        Stranger Than Fiction						                                            Punk	22398006	126	    1	        1	                2	        17	                1994	01.01.18 12:27	01.01.18 12:26	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Bad Religion:Stranger Than Fiction:02 Leave Mine To Me.aif
Stranger Than Fiction	    Bad Religion		        Stranger Than Fiction						                                            Punk	24752363	140	    1	        1	                3	        17	                1994	01.01.18 12:27	01.01.18 12:27	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Bad Religion:Stranger Than Fiction:03 Stranger Than Fiction.aif
Tiny Voices	                Bad Religion		        Stranger Than Fiction						                                            Punk	27697057	157	    1	        1	                4	        17	                1994	01.01.18 12:28	01.01.18 12:27	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Bad Religion:Stranger Than Fiction:04 Tiny Voices.aif
The Handshake	            Bad Religion		        Stranger Than Fiction						                                            Punk	29971443	169	    1	        1	                5	        17	                1994	01.01.18 12:29	01.01.18 12:28	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Bad Religion:Stranger Than Fiction:05 The Handshake.aif
Better Off Dead	            Bad Religion		        Stranger Than Fiction						                                            Punk	28033397	158	    1	        1	                6	        17	                1994	01.01.18 12:29	01.01.18 12:29	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Bad Religion:Stranger Than Fiction:06 Better Off Dead.aif
Infected	                Bad Religion		        Stranger Than Fiction						                                            Punk	43678894	247	    1	        1	                7	        17	                1994	01.01.18 12:30	01.01.18 12:29	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Bad Religion:Stranger Than Fiction:07 Infected.aif
Television	                Bad Religion		        Stranger Than Fiction						                                            Punk	21817056	123	    1	        1	                8	        17	                1994	01.01.18 12:30	01.01.18 12:30	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Bad Religion:Stranger Than Fiction:08 Television.aif
Individual	                Bad Religion		        Stranger Than Fiction						                                            Punk	20829216	118	    1	        1	                9	        17	                1994	01.01.18 12:31	01.01.18 12:30	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Bad Religion:Stranger Than Fiction:09 Individual.aif
Hooray For Me...	        Bad Religion		        Stranger Than Fiction						                                            Punk	29837383	169	    1	        1	                10	        17	                1994	01.01.18 12:31	01.01.18 12:31	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Bad Religion:Stranger Than Fiction:10 Hooray For Me....aif
Slumber	                    Bad Religion		        Stranger Than Fiction						                                            Punk	28442638	161	    1	        1	                11	        17	                1994	01.01.18 12:32	01.01.18 12:31	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Bad Religion:Stranger Than Fiction:11 Slumber.aif
Marked	                    Bad Religion		        Stranger Than Fiction						                                            Punk	19084029	108	    1	        1	                12	        17	                1994	01.01.18 12:32	01.01.18 12:32	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Bad Religion:Stranger Than Fiction:12 Marked.aif
Inner Logic	                Bad Religion		        Stranger Than Fiction						                                            Punk	31370882	177	    1	        1	                13	        17	                1994	01.01.18 12:32	01.01.18 12:32	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Bad Religion:Stranger Than Fiction:13 Inner Logic.aif
What It Is	                Bad Religion		        Stranger Than Fiction						                                            Punk	22640257	128	    1	        1	                14	        17	                1994	01.01.18 12:33	01.01.18 12:32	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Bad Religion:Stranger Than Fiction:14 What It Is.aif
21st Century (Digital Boy)	Bad Religion		        Stranger Than Fiction						                                            Punk	29632769	167	    1	        1	                15	        17	                1990	01.01.18 12:33	01.01.18 12:33	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Bad Religion:Stranger Than Fiction:15 21st Century (Digital Boy).aif
News From The Front	        Bad Religion		        Stranger Than Fiction						                                            Punk	25114570	142	    1	        1	                16	        17	                1994	01.01.18 12:33	01.01.18 12:33	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Bad Religion:Stranger Than Fiction:16 News From The Front.aif
Markovian Process	        Bad Religion		        Stranger Than Fiction						                                            Punk	15791240	89	    1	        1	                17	        17	                1994	01.01.18 12:34	01.01.18 12:33	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Bad Religion:Stranger Than Fiction:17 Markovian Process.aif