Name	                            Künstler	Komponist	Album	        Gruppierung	Werk	Nummer für Satz	Satzzähler	Name für Satz	Genre	Größe	    Dauer	Disc-Nummer	Anzahl der Discs	Titelnummer	Anzahl der Titel	Jahr	Geändert	    Hinzugefügt	    Datenrate	Abtastrate	Lautstärkeanpassung	Art	            Equalizer	Kommentar	Wiedergaben	Zuletzt gespielt	Übersprungen	Zuletzt übersprungen	Meine Wertung	Ort
You've Got A Chance	                Bad Religion		    The New America						                                            Punk	39072547	220	    1	        1	                1	        13	                2000	01.01.18 11:14	01.01.18 11:07	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Bad Religion:The New America:01 You've Got A Chance.aif
It's A Long Way To The Promise Land	Bad Religion		    The New America						                                            Punk	26329427	148	    1	        1	                2	        13	                2000	01.01.18 11:14	01.01.18 11:08	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Bad Religion:The New America:02 It's A Long Way To The Promise Land.aif
A World Without Melody	            Bad Religion		    The New America						                                            Punk	26976214	152	    1	        1	                3	        13	                2000	01.01.18 11:14	01.01.18 11:08	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Bad Religion:The New America:03 A World Without Melody.aif
New America	                        Bad Religion		    The New America						                                            Punk	36212507	204	    1	        1	                4	        13	                2000	01.01.18 11:14	01.01.18 11:09	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Bad Religion:The New America:04 New America.aif
1000 Memories	                    Bad Religion		    The New America						                                            Punk	31934221	180	    1	        1	                5	        13	                2000	01.01.18 11:14	01.01.18 11:09	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Bad Religion:The New America:05 1000 Memories.aif
A Streetkid Named Desire	        Bad Religion		    The New America						                                            Punk	34942440	197	    1	        1	                6	        13	                2000	01.01.18 11:14	01.01.18 11:10	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Bad Religion:The New America:06 A Streetkid Named Desire.aif
Whisper In Time	                    Bad Religion		    The New America						                                            Punk	26995023	152	    1	        1	                7	        13	                2000	01.01.18 11:14	01.01.18 11:10	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Bad Religion:The New America:07 Whisper In Time.aif
Believe It	                        Bad Religion		    The New America						                                            Punk	39140746	221	    1	        1	                8	        13	                2000	01.01.18 11:14	01.01.18 11:11	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Bad Religion:The New America:08 Believe It.aif
I Love My Computer	                Bad Religion		    The New America						                                            Punk	32875026	185	    1	        1	                9	        13	                2000	01.01.18 11:14	01.01.18 11:12	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Bad Religion:The New America:09 I Love My Computer.aif
The Hopeless Housewife	            Bad Religion		    The New America						                                            Punk	31720199	179	    1	        1	                10	        13	                2000	01.01.18 11:14	01.01.18 11:12	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Bad Religion:The New America:10 The Hopeless Housewife.aif
There Will Be A Way	                Bad Religion		    The New America						                                            Punk	30617108	172	    1	        1	                11	        13	                2000	01.01.18 11:14	01.01.18 11:12	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Bad Religion:The New America:11 There Will Be A Way.aif
Let It Burn	                        Bad Religion		    The New America						                                            Punk	29045964	164	    1	        1	                12	        13	                2000	01.01.18 11:14	01.01.18 11:13	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Bad Religion:The New America:12 Let It Burn.aif
Don't Sell Me Short	                Bad Religion		    The New America						                                            Punk	42029012	237	    1	        1	                13	        13	                2000	01.01.18 11:14	01.01.18 11:13	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Bad Religion:The New America:13 Don't Sell Me Short.aif