Name	            Künstler	Komponist	Album	            Gruppierung	Werk	Nummer für Satz	Satzzähler	Name für Satz	Genre	Größe	    Dauer	Disc-Nummer	Anzahl der Discs	Titelnummer	Anzahl der Titel	Jahr	Geändert	    Hinzugefügt	    Datenrate	Abtastrate	Lautstärkeanpassung	Art	                Equalizer	Kommentar	Wiedergaben	Zuletzt gespielt	Übersprungen	Zuletzt übersprungen	Meine Wertung	Ort
Fallen Off	        Downset		            Check Your People						                                            Metal	41989230	237	    1	        1	                1	        13	                2000	28.12.17 09:45	28.12.17 09:38	1411	    44100		                    AIFF-Audiodatei								                                                                                        Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Downset:Check Your People:01 Fallen Off.aif
Coming Back	        Downset		            Check Your People						                                            Metal	41213071	233	    1	        1	                2	        13	                2000	28.12.17 09:45	28.12.17 09:39	1411	    44100		                    AIFF-Audiodatei								                                                                                        Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Downset:Check Your People:02 Coming Back.aif
Together	        Downset		            Check Your People						                                            Metal	45987628	260	    1	        1	                3	        13	                2000	28.12.17 09:45	28.12.17 09:39	1411	    44100		                    AIFF-Audiodatei								                                                                                        Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Downset:Check Your People:03 Together.aif
Play Big	        Downset		            Check Your People						                                            Metal	38830492	219	    1	        1	                4	        13	                2000	28.12.17 09:45	28.12.17 09:40	1411	    44100		                    AIFF-Audiodatei								                                                                                        Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Downset:Check Your People:04 Play Big.aif
Check Your People	Downset		            Check Your People						                                            Metal	49245157	278	    1	        1	                5	        13	                2000	28.12.17 09:45	28.12.17 09:40	1411	    44100		                    AIFF-Audiodatei								                                                                                        Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Downset:Check Your People:05 Check Your People.aif
No Home (Steady!)	Downset		            Check Your People						                                            Metal	34404037	194	    1	        1	                6	        13	                2000	28.12.17 09:45	28.12.17 09:41	1411	    44100		                    AIFF-Audiodatei								                                                                                        Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Downset:Check Your People:06 No Home (Steady!).aif
Which Way	        Downset		            Check Your People						                                            Metal	52815485	298	    1	        1	                7	        13	                2000	28.12.17 09:45	28.12.17 09:41	1411	    44100		                    AIFF-Audiodatei								                                                                                        Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Downset:Check Your People:07 Which Way.aif
Chemical Strangle	Downset		            Check Your People						                                            Metal	38442421	217	    1	        1	                8	        13	                2000	28.12.17 09:45	28.12.17 09:42	1411	    44100		                    AIFF-Audiodatei								                                                                                        Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Downset:Check Your People:08 Chemical Strangle.aif
Tear Us Apart	    Downset		            Check Your People						                                            Metal	39307953	222	    1	        1	                9	        13	                2000	28.12.17 09:45	28.12.17 09:42	1411	    44100		                    AIFF-Audiodatei								                                                                                        Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Downset:Check Your People:09 Tear Us Apart.aif
2000	            Downset		            Check Your People						                                            Metal	33369147	188	    1	        1	                10	        13	                2000	28.12.17 09:45	28.12.17 09:43	1411	    44100		                    AIFF-Audiodatei								                                                                                        Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Downset:Check Your People:10 2000.aif
En El Aire	        Downset		            Check Your People						                                            Metal	38468289	217	    1	        1	                11	        13	                2000	28.12.17 09:45	28.12.17 09:43	1411	    44100		                    AIFF-Audiodatei								                                                                                        Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Downset:Check Your People:11 En El Aire.aif
Test Of My Heart	Downset		            Check Your People						                                            Metal	37431063	211	    1	        1	                12	        13	                2000	28.12.17 09:45	28.12.17 09:43	1411	    44100		                    AIFF-Audiodatei								                                                                                        Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Downset:Check Your People:12 Test Of My Heart.aif
Pure Trauma	        Downset		            Check Your People						                                            Metal	27305698	154	    1	        1	                13	        13	                2000	28.12.17 09:45	28.12.17 09:44	1411	    44100		                    AIFF-Audiodatei								                                                                                        Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Downset:Check Your People:13 Pure Trauma.aif