Name	                Künstler	Komponist	                                    Album	                Gruppierung	Werk	Nummer für Satz	Satzzähler	Name für Satz	Genre	    Größe	    Dauer	Disc-Nummer	Anzahl der Discs	Titelnummer	Anzahl der Titel	Jahr	Geändert	    Hinzugefügt	    Datenrate	Abtastrate	Lautstärkeanpassung	Art	            Equalizer	Kommentar	Wiedergaben	Zuletzt gespielt	Übersprungen	Zuletzt übersprungen	Meine Wertung	Ort
Bionic Astronautics	    Fu Manchu	Brad Davis/Robert Balch/Scott Hill/Scott Reeder	Signs Of Infinite Power						                                            Stonerrock	39512565	223	    1	        1	                1	        10	                2009	03.01.18 19:19	03.01.18 19:10	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Fu Manchu:Signs Of Infinite Power:01 Bionic Astronautics.aif
Steel.Beast.Defeated	Fu Manchu	Brad Davis/Robert Balch/Scott Hill/Scott Reeder	Signs Of Infinite Power						                                            Stonerrock	40236982	227	    1	        1	                2	        10	                2009	03.01.18 19:19	03.01.18 19:11	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Fu Manchu:Signs Of Infinite Power:02 Steel.Beast.Defeated.aif
Against The Ground	    Fu Manchu	Brad Davis/Robert Balch/Scott Hill/Scott Reeder	Signs Of Infinite Power						                                            Stonerrock	35288372	199	    1	        1	                3	        10	                2009	03.01.18 19:19	03.01.18 19:11	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Fu Manchu:Signs Of Infinite Power:03 Against The Ground.aif
Webfoot Witch Hat	    Fu Manchu	Brad Davis/Robert Balch/Scott Hill/Scott Reeder	Signs Of Infinite Power						                                            Stonerrock	47975059	271	    1	        1	                4	        10	                2009	03.01.18 19:19	03.01.18 19:11	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Fu Manchu:Signs Of Infinite Power:04 Webfoot Witch Hat.aif
El Busta	            Fu Manchu	Brad Davis/Robert Balch/Scott Hill/Scott Reeder	Signs Of Infinite Power						                                            Stonerrock	35034346	198	    1	        1	                5	        10	                2009	03.01.18 19:19	03.01.18 19:12	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Fu Manchu:Signs Of Infinite Power:05 El Busta.aif
Signs Of Infinite Power	Fu Manchu	Brad Davis/Robert Balch/Scott Hill/Scott Reeder	Signs Of Infinite Power						                                            Stonerrock	44390617	251	    1	        1	                6	        10	                2009	03.01.18 19:19	03.01.18 19:12	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Fu Manchu:Signs Of Infinite Power:06 Signs Of Infinite Power.aif
Eyes X 10	            Fu Manchu	Brad Davis/Robert Balch/Scott Hill/Scott Reeder	Signs Of Infinite Power						                                            Stonerrock	25123019	142	    1	        1	                7	        10	                2009	03.01.18 19:19	03.01.18 19:12	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Fu Manchu:Signs Of Infinite Power:07 Eyes X 10.aif
Gargantuan March	    Fu Manchu	Brad Davis/Robert Balch/Scott Hill/Scott Reeder	Signs Of Infinite Power						                                            Stonerrock	38985714	220	    1	        1	                8	        10	                2009	03.01.18 19:19	03.01.18 19:12	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Fu Manchu:Signs Of Infinite Power:08 Gargantuan March.aif
Take It Away	        Fu Manchu	Brad Davis/Robert Balch/Scott Hill/Scott Reeder	Signs Of Infinite Power						                                            Stonerrock	35295422	199	    1	        1	                9	        10	                2009	03.01.18 19:19	03.01.18 19:13	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Fu Manchu:Signs Of Infinite Power:09 Take It Away.aif
One Step Too Far	    Fu Manchu	Brad Davis/Robert Balch/Scott Hill/Scott Reeder	Signs Of Infinite Power						                                            Stonerrock	23462517	132	    1	        1	                10	        10	                2009	03.01.18 19:19	03.01.18 19:13	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Fu Manchu:Signs Of Infinite Power:10 One Step Too Far.aif