Name	                Künstler	Komponist	                                    Album	            Gruppierung	Werk	Nummer für Satz	Satzzähler	Name für Satz	Genre	    Größe	    Dauer	Disc-Nummer	Anzahl der Discs	Titelnummer	Anzahl der Titel	Jahr	Geändert	    Hinzugefügt	    Datenrate	Abtastrate	Lautstärkeanpassung	Art	            Equalizer	Kommentar	Wiedergaben	Zuletzt gespielt	Übersprungen	Zuletzt übersprungen	Meine Wertung	Ort
Open Your Eyes	        Guano Apes	Stefan/Guano Apes/Henning/Sandra Nasic/Dennis	Proud Like A God						                                            Alternative	33436804	189	    1	        1	                1	        18	                1997	01.03.18 05:24	01.03.18 05:14	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Guano Apes:Proud Like A God:01 Open Your Eyes.aif
Maria	                Guano Apes	Stefan/Guano Apes/Henning/Sandra Nasic	        Proud Like A God						                                            Alternative	39980052	226	    1	        1	                2	        18	                1997	01.03.18 05:24	01.03.18 05:14	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Guano Apes:Proud Like A God:02 Maria.aif
Rain	                Guano Apes	Henning/Guano Apes/Stefan/Sandra Nasic	        Proud Like A God						                                            Alternative	48971747	277	    1	        1	                3	        18	                1997	01.03.18 05:24	01.03.18 05:15	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Guano Apes:Proud Like A God:03 Rain.aif
Lords Of The Boards	    Guano Apes	Henning/Dennis/Stefan/Guano Apes/Sandra Nasic	Proud Like A God						                                            Alternative	39570825	223	    1	        1	                4	        18	                1997	01.03.18 05:24	01.03.18 05:15	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Guano Apes:Proud Like A God:04 Lords Of The Boards.aif
Crossing The Deadline	Guano Apes	Sandra Nasic/Stefan/Henning/Guano Apes	        Proud Like A God						                                            Alternative	36376804	205	    1	        1	                5	        18	                1997	01.03.18 05:24	01.03.18 05:16	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Guano Apes:Proud Like A God:05 Crossing The Deadline.aif
We Use The Pain	        Guano Apes	Henning/Sandra Nasic/Stefan/Guano Apes	        Proud Like A God						                                            Alternative	26945278	152	    1	        1	                6	        18	                1997	01.03.18 05:24	01.03.18 05:16	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Guano Apes:Proud Like A God:06 We Use The Pain.aif
Never Born	            Guano Apes	Sandra Nasic/Henning/Stefan/Guano Apes	        Proud Like A God						                                            Alternative	56138297	317	    1	        1	                7	        18	                1997	01.03.18 05:24	01.03.18 05:17	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Guano Apes:Proud Like A God:07 Never Born.aif
Wash It Down	        Guano Apes	Sandra Nasic/Stefan/Henning/Guano Apes	        Proud Like A God						                                            Alternative	32949931	186	    1	        1	                8	        18	                1997	01.03.18 05:24	01.03.18 05:17	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Guano Apes:Proud Like A God:08 Wash It Down.aif
Scapegoat	            Guano Apes	Stefan/Guano Apes/Henning/Sandra Nasic	        Proud Like A God						                                            Alternative	35859352	202	    1	        1	                9	        18	                1997	01.03.18 05:24	01.03.18 05:18	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Guano Apes:Proud Like A God:09 Scapegoat.aif
Get Busy	            Guano Apes	Henning/Sandra Nasic/Guano Apes/Stefan	        Proud Like A God						                                            Alternative	35958138	203	    1	        1	                10	        18	                1997	01.03.18 05:24	01.03.18 05:18	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Guano Apes:Proud Like A God:10 Get Busy.aif
Suzie	                Guano Apes	Guano Apes/Stefan/Henning/Sandra Nasic	        Proud Like A God						                                            Alternative	31049511	175	    1	        1	                11	        18	                1997	01.03.18 05:24	01.03.18 05:18	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Guano Apes:Proud Like A God:11 Suzie.aif
Tribute	                Guano Apes	Henning/Guano Apes/Sandra Nasic/Stefan	        Proud Like A God						                                            Alternative	97418249	551	    1	        1	                12	        18	                1997	01.03.18 05:24	01.03.18 05:19	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Guano Apes:Proud Like A God:12 Tribute.aif
[No Audio 1]	        Guano Apes		                                            Proud Like A God						                                            Alternative	767472	    4	    1	        1	                13	        18	                1997	01.03.18 05:24	01.03.18 05:19	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Guano Apes:Proud Like A God:13 [No Audio 1].aif
[No Audio 2]	        Guano Apes		                                            Proud Like A God						                                            Alternative	767472	    4	    1	        1	                14	        18	                1997	01.03.18 05:24	01.03.18 05:19	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Guano Apes:Proud Like A God:14 [No Audio 2].aif
[No Audio 3]	        Guano Apes		                                            Proud Like A God						                                            Alternative	767472	    4	    1	        1	                15	        18	                1997	01.03.18 05:24	01.03.18 05:19	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Guano Apes:Proud Like A God:15 [No Audio 3].aif
[No Audio 4]	        Guano Apes		                                            Proud Like A God						                                            Alternative	767472	    4	    1	        1	                16	        18	                1997	01.03.18 05:24	01.03.18 05:19	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Guano Apes:Proud Like A God:16 [No Audio 4].aif
[No Audio 5]	        Guano Apes	Sandra Nasic/Stefan/Henning	                    Proud Like A God						                                            Alternative	767507	    4	    1	        1	                17	        18	                1997	01.03.18 05:24	01.03.18 05:19	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Guano Apes:Proud Like A God:17 [No Audio 5].aif
Move A Little Closer	Guano Apes	Henning/Stefan/Sandra Nasic	                    Proud Like A God						                                            Alternative	29991115	169	    1	        1	                18	        18	                1997	01.03.18 05:24	01.03.18 05:19	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Guano Apes:Proud Like A God:18 Move A Little Closer.aif