Name	                Künstler	    Komponist	                                    Album	            Gruppierung	Werk	Nummer für Satz	Satzzähler	Name für Satz	Genre	Größe	    Dauer	Disc-Nummer	Anzahl der Discs	Titelnummer	Anzahl der Titel	Jahr	Geändert	    Hinzugefügt	    Datenrate	Abtastrate	Lautstärkeanpassung	Art	            Equalizer	Kommentar	Wiedergaben	Zuletzt gespielt	Übersprungen	Zuletzt übersprungen	Meine Wertung	Ort
Right Next Door To Hell	Guns N' Roses	W. Axl Rose/Izzy Stradlin	                    Use Your Illusion I						                                            Rock	32338899	182	    1	        1	                1	        16	                1991	03.03.18 08:24	03.03.18 08:09	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Guns N' Roses:Use Your Illusion I:01 Right Next Door To Hell.aif
Dust N' Bones	        Guns N' Roses	W. Axl Rose/Duff McKagan/Darren Reed	        Use Your Illusion I						                                            Rock	52690756	298	    1	        1	                2	        16	                1991	03.03.18 08:24	03.03.18 08:10	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Guns N' Roses:Use Your Illusion I:02 Dust N' Bones.aif
Live And Let Die	    Guns N' Roses	Paul McCartney	                                Use Your Illusion I						                                            Rock	32564673	184	    1	        1	                3	        16	                1991	03.03.18 08:24	03.03.18 08:11	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Guns N' Roses:Use Your Illusion I:03 Live And Let Die.aif
Don't Cry	            Guns N' Roses	W. Axl Rose/Jeffrey Isbell	                    Use Your Illusion I						                                            Rock	50338742	284	    1	        1	                4	        16	                1991	03.03.18 08:24	03.03.18 08:12	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Guns N' Roses:Use Your Illusion I:04 Don't Cry.aif
Perfect Crime	        Guns N' Roses	Dave Lank/Guns N' Roses	                        Use Your Illusion I						                                            Rock	25407543	143	    1	        1	                5	        16	                1991	03.03.18 08:24	03.03.18 08:12	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Guns N' Roses:Use Your Illusion I:05 Perfect Crime.aif
You Ain't The First	    Guns N' Roses	Duff McKagan/Slash/W. Axl Rose/Izzy Stradlin	Use Your Illusion I						                                            Rock	27634914	156	    1	        1	                6	        16	                1991	03.03.18 08:24	03.03.18 08:13	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Guns N' Roses:Use Your Illusion I:06 You Ain't The First.aif
Bad Obsession	        Guns N' Roses	West Arkeen/Izzy Stradlin	                    Use Your Illusion I						                                            Rock	57994505	328	    1	        1	                7	        16	                1991	03.03.18 08:24	03.03.18 08:13	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Guns N' Roses:Use Your Illusion I:07 Bad Obsession.aif
Back Off Bitch	        Guns N' Roses	Slash/Paul Huge	                                Use Your Illusion I						                                            Rock	53626832	303	    1	        1	                8	        16	                1991	03.03.18 08:24	03.03.18 08:14	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Guns N' Roses:Use Your Illusion I:08 Back Off Bitch.aif
Double Talkin' Jive	    Guns N' Roses	W. Axl Rose	                                    Use Your Illusion I						                                            Rock	36026817	203	    1	        1	                9	        16	                1991	03.03.18 08:24	03.03.18 08:15	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Guns N' Roses:Use Your Illusion I:09 Double Talkin' Jive.aif
November Rain	        Guns N' Roses	Duff McKagan	                                Use Your Illusion I						                                            Rock	94897375	537	    1	        1	                10	        16	                1991	03.03.18 08:24	03.03.18 08:15	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Guns N' Roses:Use Your Illusion I:10 November Rain.aif
The Garden	            Guns N' Roses	Del James	                                    Use Your Illusion I						                                            Rock	56924329	322	    1	        1	                11	        16	                1991	03.03.18 08:24	03.03.18 08:16	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Guns N' Roses:Use Your Illusion I:11 The Garden.aif
Garden Of Eden	        Guns N' Roses	Slash/Duff McKagan	                            Use Your Illusion I						                                            Rock	28599206	161	    1	        1	                12	        16	                1991	03.03.18 08:24	03.03.18 08:17	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Guns N' Roses:Use Your Illusion I:12 Garden Of Eden.aif
Don't Damn Me	        Guns N' Roses	W. Axl Rose	                                    Use Your Illusion I						                                            Rock	56336334	318	    1	        1	                13	        16	                1991	03.03.18 08:24	03.03.18 08:18	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Guns N' Roses:Use Your Illusion I:13 Don't Damn Me.aif
Bad Apples	            Guns N' Roses	Izzy Stradlin/Duff McKagan	                    Use Your Illusion I						                                            Rock	47394042	268	    1	        1	                14	        16	                1991	03.03.18 08:24	03.03.18 08:18	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Guns N' Roses:Use Your Illusion I:14 Bad Apples.aif
Dead Horse	            Guns N' Roses	Duff McKagan/Izzy Stradlin/Slash	            Use Your Illusion I						                                            Rock	45528912	257	    1	        1	                15	        16	                1991	03.03.18 08:24	03.03.18 08:19	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Guns N' Roses:Use Your Illusion I:15 Dead Horse.aif
Coma	                Guns N' Roses	Slash/W. Axl Rose	                            Use Your Illusion I						                                            Rock	108362571	613	    1	        1	                16	        16	                1991	03.03.18 08:24	03.03.18 08:20	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Guns N' Roses:Use Your Illusion I:16 Coma.aif