Name	            Künstler	Komponist	    Album	Gruppierung	Werk	Nummer für Satz	Satzzähler	Name für Satz	Genre	Größe	    Dauer	Disc-Nummer	Anzahl der Discs	Titelnummer	Anzahl der Titel	Jahr	Geändert	    Hinzugefügt	    Datenrate	Abtastrate	Lautstärkeanpassung	Art	            Equalizer	Kommentar	Wiedergaben	Zuletzt gespielt	Übersprungen	Zuletzt übersprungen	Meine Wertung	Ort
In The Meantime	    Helmet	    Page Hamilton	Meantime						                                        Punk	33415495	188	    1	        1	                1	        10	                1992	30.12.17 11:20	30.12.17 11:08	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Helmet:Meantime:01 In The Meantime.aif
Ironhead	        Helmet	    Page Hamilton	Meantime						                                        Punk	35868624	202	    1	        1	                2	        10	                1992	30.12.17 11:20	30.12.17 11:09	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Helmet:Meantime:02 Ironhead.aif
Give It	            Helmet	    Page Hamilton	Meantime						                                        Punk	45570623	257	    1	        1	                3	        10	                1992	30.12.17 11:20	30.12.17 11:09	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Helmet:Meantime:03 Give It.aif
Unsung	            Helmet	    Page Hamilton	Meantime						                                        Punk	42026158	237	    1	        1	                4	        10	                1992	30.12.17 11:20	30.12.17 11:10	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Helmet:Meantime:04 Unsung.aif
Turned Out	        Helmet	    Helmet	        Meantime						                                        Punk	45006139	254	    1	        1	                5	        10	                1992	30.12.17 11:20	30.12.17 11:10	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Helmet:Meantime:05 Turned Out.aif
He Feels Bad	    Helmet	    Helmet	        Meantime						                                        Punk	43053981	243	    1	        1	                6	        10	                1992	30.12.17 11:20	30.12.17 11:11	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Helmet:Meantime:06 He Feels Bad.aif
Better	            Helmet	    Page Hamilton	Meantime						                                        Punk	33657742	190	    1	        1	                7	        10	                1992	30.12.17 11:20	30.12.17 11:11	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Helmet:Meantime:07 Better.aif
You Borrowed	    Helmet	    Helmet	        Meantime						                                        Punk	39855261	225	    1	        1	                8	        10	                1992	30.12.17 11:20	30.12.17 11:12	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Helmet:Meantime:08 You Borrowed.aif
FBLA II	            Helmet	    Helmet	        Meantime						                                        Punk	35814520	202	    1	        1	                9	        10	                1992	30.12.17 11:20	30.12.17 11:12	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Helmet:Meantime:09 FBLA II.aif
Role Model	        Helmet	    Helmet	        Meantime						                                        Punk	37827838	213	    1	        1	                10	        10	                1992	30.12.17 11:20	30.12.17 11:13	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Helmet:Meantime:10 Role Model.aif