Name	                            ünstler	    Komponist	Album	                        Gruppierung	Werk	Nummer für Satz	Satzzähler	Name für Satz	Genre	        Größe	    Dauer	Disc-Nummer	Anzahl der Discs	Titelnummer	Anzahl der Titel	Jahr	Geändert	    Hinzugefügt	    Datenrate	Abtastrate	Lautstärkeanpassung	Art	            Equalizer	Kommentar	Wiedergaben	Zuletzt gespielt	Übersprungen	Zuletzt übersprungen	Meine Wertung	Ort
Don't Make Me Go	                Johnny Cash		        The Intro Collection - [Disc 2]						                                            Country & Folk	26358793	149	    1	        1	                1	        15	                1957	26.12.17 17:33	26.12.17 17:32	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Johnny Cash:The Intro Collection - [Disc 2]:01 Don't Make Me Go.aif
Next In Line	                    Johnny Cash		        The Intro Collection - [Disc 2]						                                            Country & Folk	28974213	164	    1	        1	                2	        15	                1957	26.12.17 17:33	26.12.17 17:33	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Johnny Cash:The Intro Collection - [Disc 2]:02 Next In Line.aif
Give My Love To Rose	            Johnny Cash		        The Intro Collection - [Disc 2]						                                            Country & Folk	28362701	160	    1	        1	                3	        15	                1957	26.12.17 17:33	26.12.17 17:33	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Johnny Cash:The Intro Collection - [Disc 2]:03 Give My Love To Rose.aif
Home Of The Blues	                Johnny Cash		        The Intro Collection - [Disc 2]						                                            Country & Folk	28021658	158	    1	        1	                4	        15	                1957	26.12.17 17:33	26.12.17 17:33	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Johnny Cash:The Intro Collection - [Disc 2]:04 Home Of The Blues.aif
Rock Island Line	                Johnny Cash		        The Intro Collection - [Disc 2]						                                            Country & Folk	23030713	130	    1	        1	                5	        15	                1957	26.12.17 17:34	26.12.17 17:33	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Johnny Cash:The Intro Collection - [Disc 2]:05 Rock Island Line.aif
Wreck Of The Old '97	            Johnny Cash		        The Intro Collection - [Disc 2]						                                            Country & Folk	19001741	107	    1	        1	                6	        15	                1957	26.12.17 17:34	26.12.17 17:34	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Johnny Cash:The Intro Collection - [Disc 2]:06 Wreck Of The Old '97.aif
Doin' My Time	                    Johnny Cash		        The Intro Collection - [Disc 2]						                                            Country & Folk	27605350	156	    1	        1	                7	        15	                1957	26.12.17 17:34	26.12.17 17:34	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Johnny Cash:The Intro Collection - [Disc 2]:07 Doin' My Time.aif
Country Boy	                        Johnny Cash		        The Intro Collection - [Disc 2]						                                            Country & Folk	19820228	112	    1	        1	                8	        15	                1957	26.12.17 17:34	26.12.17 17:34	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Johnny Cash:The Intro Collection - [Disc 2]:08 Country Boy.aif
If The Good Lord's Willing	        Johnny Cash		        The Intro Collection - [Disc 2]						                                            Country & Folk	18225587	103	    1	        1	                9	        15	                1957	26.12.17 17:34	26.12.17 17:34	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Johnny Cash:The Intro Collection - [Disc 2]:09 If The Good Lord's Willing.aif
I Heard That Lonesome Whistle Blow	Johnny Cash		        The Intro Collection - [Disc 2]						                                            Country & Folk	25533260	144	    1	        1	                10	        15	                1957	26.12.17 17:34	26.12.17 17:34	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Johnny Cash:The Intro Collection - [Disc 2]:10 I Heard That Lonesome Whistle Blow.aif
I As There When It Happened	        Johnny Cash		        The Intro Collection - [Disc 2]						                                            Country & Folk	23924485	135	    1	        1	                11	        15	                1957	26.12.17 17:35	26.12.17 17:34	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Johnny Cash:The Intro Collection - [Disc 2]:11 I As There When It Happened.aif
Remember Me	                        Johnny Cash		        The Intro Collection - [Disc 2]						                                            Country & Folk	21301989	120	    1	        1	                12	        15	                1957	26.12.17 17:35	26.12.17 17:35	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Johnny Cash:The Intro Collection - [Disc 2]:12 Remember Me.aif
Big River	                        Johnny Cash		        The Intro Collection - [Disc 2]						                                            Country & Folk	26805667	151	    1	        1	                13	        15	                1957	26.12.17 17:35	26.12.17 17:35	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Johnny Cash:The Intro Collection - [Disc 2]:13 Big River.aif
Ballad Of A Teenage Queen	        Johnny Cash		        The Intro Collection - [Disc 2]						                                            Country & Folk	23310611	132	    1	        1	                14	        15	                1957	26.12.17 17:35	26.12.17 17:35	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Johnny Cash:The Intro Collection - [Disc 2]:14 Ballad Of A Teenage Queen.aif
Come In Stranger	                Johnny Cash		        The Intro Collection - [Disc 2]						                                            Country & Folk	17771642	100	    1	        1	                15	        15	                1957	26.12.17 17:35	26.12.17 17:35	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Johnny Cash:The Intro Collection - [Disc 2]:15 Come In Stranger.aif