Name	                Künstler	        Komponist	Album	                            Gruppierung	Werk	Nummer für Satz	Satzzähler	Name für Satz	Genre	Größe	    Dauer	Disc-Nummer	Anzahl der Discs	Titelnummer	Anzahl der Titel	Jahr	Geändert	    Hinzugefügt	    Datenrate	Abtastrate	Lautstärkeanpassung	Art	            Equalizer	Kommentar	Wiedergaben	Zuletzt gespielt	Übersprungen	Zuletzt übersprungen	Meine Wertung	Ort
Cold Feelings	        Social Distortion	M.Ness	    Somewhere Between Heaven And Hell						                                            Punk	37349306	211	    1	        1	                1	        11	                1992	26.12.17 11:02	26.12.17 10:56	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Social Distortion:Somewhere Between Heaven And Hell:01 Cold Feelings.aif
Bad Luck	            Social Distortion	Mike Ness	Somewhere Between Heaven And Hell						                                            Punk	46985448	266	    1	        1	                2	        11	                1992	26.12.17 11:02	26.12.17 10:57	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Social Distortion:Somewhere Between Heaven And Hell:02 Bad Luck.aif
Making Believe	        Social Distortion	J-Work	    Somewhere Between Heaven And Hell						                                            Punk	44659323	252	    1	        1	                3	        11	                1992	26.12.17 11:02	26.12.17 10:57	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Social Distortion:Somewhere Between Heaven And Hell:03 Making Believe.aif
Born To Lose	        Social Distortion	M.Ness	    Somewhere Between Heaven And Hell						                                            Punk	43993705	249	    1	        1	                4	        11	                1992	26.12.17 11:02	26.12.17 10:58	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Social Distortion:Somewhere Between Heaven And Hell:04 Born To Lose.aif
Bye Bye Baby	        Social Distortion	M.Ness	    Somewhere Between Heaven And Hell						                                            Punk	32880505	186	    1	        1	                5	        11	                1992	26.12.17 11:02	26.12.17 10:58	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Social Distortion:Somewhere Between Heaven And Hell:05 Bye Bye Baby.aif
When She Begins	        Social Distortion	M.Ness	    Somewhere Between Heaven And Hell						                                            Punk	53730988	304	    1	        1	                6	        11	                1992	26.12.17 11:02	26.12.17 10:59	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Social Distortion:Somewhere Between Heaven And Hell:06 When She Begins.aif
99 To Life	            Social Distortion	M.Ness	    Somewhere Between Heaven And Hell						                                            Punk	47455847	268	    1	        1	                7	        11	                1992	26.12.17 11:02	26.12.17 10:59	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Social Distortion:Somewhere Between Heaven And Hell:07 99 To Life.aif
King Of Fools	        Social Distortion	W. E. Bruce	Somewhere Between Heaven And Hell						                                            Punk	30046351	170	    1	        1	                8	        11	                1992	26.12.17 11:02	26.12.17 11:00	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Social Distortion:Somewhere Between Heaven And Hell:08 King Of Fools.aif
Sometimes I Do	        Social Distortion	M.Ness	    Somewhere Between Heaven And Hell						                                            Punk	42601323	241	    1	        1	                9	        11	                1992	26.12.17 11:02	26.12.17 11:00	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Social Distortion:Somewhere Between Heaven And Hell:09 Sometimes I Do.aif
This Time Darlin'	    Social Distortion	M.Ness	    Somewhere Between Heaven And Hell						                                            Punk	43963137	248	    1	        1	                10	        11	                1992	26.12.17 11:02	26.12.17 11:00	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Social Distortion:Somewhere Between Heaven And Hell:10 This Time Darlin'.aif
Ghost Town Blues	    Social Distortion	M.Ness	    Somewhere Between Heaven And Hell						                                            Punk	49203392	278	    1	        1	                11	        11	                1992	26.12.17 11:02	26.12.17 11:00	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Social Distortion:Somewhere Between Heaven And Hell:11 Ghost Town Blues.aif