Name	            Künstler	Komponist	Album	            Gruppierung	Werk	Nummer für Satz	Satzzähler	Name für Satz	Genre	    Größe	    Dauer	Disc-Nummer	Anzahl der Discs	Titelnummer	Anzahl der Titel	Jahr	Geändert	    Hinzugefügt	    Datenrate	Abtastrate	Lautstärkeanpassung	Art	            Equalizer	Kommentar	Wiedergaben	Zuletzt gespielt	Übersprungen	Zuletzt übersprungen	Meine Wertung	Ort
Snug Harbor	        Sugar Ray		        Lemonade & Brownies						                                            Alternative	8977630	    49	    1	        1	                1	        14	                1995	04.01.18 07:42	04.01.18 07:21	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Sugar Ray:Lemonade & Brownies:01 Snug Harbor.aif
Rhyme Stealer	    Sugar Ray		        Lemonade & Brownies						                                            Alternative	30578400	171	    1	        1	                2	        14	                1995	04.01.18 07:42	04.01.18 07:21	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Sugar Ray:Lemonade & Brownies:02 Rhyme Stealer.aif
Iron Mic	        Sugar Ray		        Lemonade & Brownies						                                            Alternative	49730731	280	    1	        1	                3	        14	                1995	04.01.18 07:42	04.01.18 07:22	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Sugar Ray:Lemonade & Brownies:03 Iron Mic.aif
Hold Your Eyes	    Sugar Ray		        Lemonade & Brownies						                                            Alternative	37201633	209	    1	        1	                4	        14	                1995	04.01.18 07:42	04.01.18 07:23	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Sugar Ray:Lemonade & Brownies:04 Hold Your Eyes.aif
The Greatest	    Sugar Ray		        Lemonade & Brownies						                                            Alternative	42321935	238	    1	        1	                5	        14	                1995	04.01.18 07:42	04.01.18 07:24	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Sugar Ray:Lemonade & Brownies:05 The Greatest.aif
Big Black Woman	    Sugar Ray		        Lemonade & Brownies						                                            Alternative	18531458	103	    1	        1	                6	        14	                1995	04.01.18 07:42	04.01.18 07:24	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Sugar Ray:Lemonade & Brownies:06 Big Black Woman.aif
Mean Machine	    Sugar Ray		        Lemonade & Brownies						                                            Alternative	28837919	162	    1	        1	                7	        14	                1995	04.01.18 07:42	04.01.18 07:25	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Sugar Ray:Lemonade & Brownies:07 Mean Machine.aif
Dance Party U.S.A.	Sugar Ray		        Lemonade & Brownies						                                            Alternative	35348261	199	    1	        1	                8	        14	                1995	04.01.18 07:42	04.01.18 07:25	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Sugar Ray:Lemonade & Brownies:08 Dance Party U.S.A..aif
10 Seconds Down	    Sugar Ray		        Lemonade & Brownies						                                            Alternative	39224354	220	    1	        1	                9	        14	                1995	04.01.18 07:42	04.01.18 07:25	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Sugar Ray:Lemonade & Brownies:09 10 Seconds Down.aif
Danzig Needs a Hug	Sugar Ray		        Lemonade & Brownies						                                            Alternative	33043302	185	    1	        1	                10	        14	                1995	04.01.18 07:42	04.01.18 07:26	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Sugar Ray:Lemonade & Brownies:10 Danzig Needs a Hug.aif
Drive By	        Sugar Ray		        Lemonade & Brownies						                                            Alternative	21205676	118	    1	        1	                11	        14	                1995	04.01.18 07:42	04.01.18 07:26	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Sugar Ray:Lemonade & Brownies:11 Drive By.aif
Caboose	            Sugar Ray		        Lemonade & Brownies						                                            Alternative	34395691	193	    1	        1	                12	        14	                1995	04.01.18 07:42	04.01.18 07:27	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Sugar Ray:Lemonade & Brownies:12 Caboose.aif
Scuzzboots	        Sugar Ray		        Lemonade & Brownies						                                            Alternative	37166350	209	    1	        1	                13	        14	                1995	04.01.18 07:42	04.01.18 07:27	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Sugar Ray:Lemonade & Brownies:13 Scuzzboots.aif
Streaker	        Sugar Ray		        Lemonade & Brownies						                                            Alternative	82334156	465	    1	        1	                14	        14	                1995	04.01.18 07:42	04.01.18 07:27	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Sugar Ray:Lemonade & Brownies:14 Streaker.aif