Name	    Künstler	        Komponist	                                Album	        Gruppierung	Werk	Nummer für Satz	Satzzähler	Name für Satz	Genre	Größe	    Dauer	Disc-Nummer	Anzahl der Discs	Titelnummer	Anzahl der Titel	Jahr	Geändert	    Hinzugefügt	    Datenrate	Abtastrate	Lautstärkeanpassung	Art	            Equalizer	Kommentar	Wiedergaben	Zuletzt gespielt	Übersprungen	Zuletzt übersprungen	Meine Wertung	Ort
Suite-Pee	System Of A Down	Malakian	                                System Of A Down						                                        Metal	26851591	152	    1	        1	                1	        13	                1998	21.01.18 15:10	21.01.18 15:06	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:System Of A Down:System Of A Down:01 Suite-Pee.aif
Know	    System Of A Down	Shavo Odadjian/Serj Tankian/Daron Malakian	System Of A Down						                                        Metal	31207524	176	    1	        1	                2	        13	                1998	21.01.18 15:10	21.01.18 15:06	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:System Of A Down:System Of A Down:02 Know.aif
Sugar	    System Of A Down	Odadjian/Malakian	                        System Of A Down						                                        Metal	27169116	153	    1	        1	                3	        13	                1998	21.01.18 15:10	21.01.18 15:06	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:System Of A Down:System Of A Down:03 Sugar.aif
Suggestions	System Of A Down	Malakian	                                System Of A Down						                                        Metal	29057769	164	    1	        1	                4	        13	                1998	21.01.18 15:10	21.01.18 15:07	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:System Of A Down:System Of A Down:04 Suggestions.aif
Spiders	    System Of A Down	Daron Malakian	                            System Of A Down						                                        Metal	38058875	215	    1	        1	                5	        13	                1998	21.01.18 15:10	21.01.18 15:07	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:System Of A Down:System Of A Down:05 Spiders.aif
Ddevil	    System Of A Down	Odadjian/Malakian	                        System Of A Down						                                        Metal	18200941	102	    1	        1	                6	        13	                1998	21.01.18 15:10	21.01.18 15:07	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:System Of A Down:System Of A Down:06 Ddevil.aif
Soil	    System Of A Down	Malakian	                                System Of A Down						                                        Metal	36360722	205	    1	        1	                7	        13	                1998	21.01.18 15:10	21.01.18 15:07	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:System Of A Down:System Of A Down:07 Soil.aif
War?	    System Of A Down	Malakian	                                System Of A Down						                                        Metal	28349810	160	    1	        1	                8	        13	                1998	21.01.18 15:10	21.01.18 15:07	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:System Of A Down:System Of A Down:08 War_.aif
Mind	    System Of A Down	Malakian/Tankian/Odadjian	                System Of A Down						                                        Metal	66384019	376	    1	        1	                9	        13	                1998	21.01.18 15:10	21.01.18 15:08	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:System Of A Down:System Of A Down:09 Mind.aif
Peephole	System Of A Down	Malakian	                                System Of A Down						                                        Metal	43096857	244	    1	        1	                10	        13	                1998	21.01.18 15:10	21.01.18 15:08	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:System Of A Down:System Of A Down:10 Peephole.aif
CUBErt	    System Of A Down	Malakian	                                System Of A Down						                                        Metal	19289911	109	    1	        1	                11	        13	                1998	21.01.18 15:10	21.01.18 15:09	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:System Of A Down:System Of A Down:11 CUBErt.aif
Darts	    System Of A Down	Malakian	                                System Of A Down						                                        Metal	28721430	162	    1	        1	                12	        13	                1998	21.01.18 15:10	21.01.18 15:09	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:System Of A Down:System Of A Down:12 Darts.aif
P.L.U.C.K.	System Of A Down	Malakian	                                System Of A Down						                                        Metal	38364635	217	    1	        1	                13	        13	                1998	21.01.18 15:10	21.01.18 15:09	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:System Of A Down:System Of A Down:13 P.L.U.C.K..aif