Name	            Künstler	            Komponist	                                    Album	        Gruppierung	Werk	Nummer für Satz	Satzzähler	Name für Satz	Genre	    Größe	    Dauer	Disc-Nummer	Anzahl der Discs	Titelnummer	Anzahl der Titel	Jahr	Geändert	    Hinzugefügt	    Datenrate	Abtastrate	Lautstärkeanpassung	Art	            Equalizer	Kommentar	Wiedergaben	Zuletzt gespielt	Übersprungen	Zuletzt übersprungen	Meine Wertung	Ort
Galvanize	        The Chemical Brothers	Kamaal Fareed/Aatabou/Ed Simons/Tom Rowlands	Push The Button						                                            Electronica	69538705	393	    1	        1	                1	        11	                2005	26.12.17 16:24	26.12.17 15:39	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:The Chemical Brothers:Push The Button:01 Galvanize.aif
The Boxer	        The Chemical Brothers	Burgess/Simons/The Rowlands	                    Push The Button						                                            Electronica	43819568	248	    1	        1	                2	        11	                2005	26.12.17 16:24	26.12.17 15:40	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:The Chemical Brothers:Push The Button:02 The Boxer.aif
Believe	            The Chemical Brothers	The Rowlands/Kele Okereke/Simons	            Push The Button						                                            Electronica	74430851	421	    1	        1	                3	        11	                2005	26.12.17 16:24	26.12.17 15:41	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:The Chemical Brothers:Push The Button:03 Believe.aif
Hold Tight London	The Chemical Brothers	Simons/Williams/The Rowlands	                Push The Button						                                            Electronica	63599897	360	    1	        1	                4	        11	                2005	26.12.17 16:24	26.12.17 15:42	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:The Chemical Brothers:Push The Button:04 Hold Tight London.aif
Come Inside	        The Chemical Brothers	Simons/The Rowlands	                            Push The Button						                                            Electronica	50560394	286	    1	        1	                5	        11	                2005	26.12.17 16:24	26.12.17 15:43	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:The Chemical Brothers:Push The Button:05 Come Inside.aif
The Big Jump	    The Chemical Brothers	Simons/The Rowlands	                            Push The Button						                                            Electronica	50158203	283	    1	        1	                6	        11	                2005	26.12.17 16:24	26.12.17 15:44	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:The Chemical Brothers:Push The Button:06 The Big Jump.aif
Left Right	        The Chemical Brothers	The Rowlands/Anwar/Simons	                    Push The Button						                                            Electronica	44983807	254	    1	        1	                7	        11	                2005	26.12.17 16:24	26.12.17 15:45	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:The Chemical Brothers:Push The Button:07 Left Right.aif
Close Your Eyes	    The Chemical Brothers	Romeo Stodart/Simons/The Rowlands	            Push The Button						                                            Electronica	66038924	373	    1	        1	                8	        11	                2005	26.12.17 16:24	26.12.17 15:45	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:The Chemical Brothers:Push The Button:08 Close Your Eyes.aif
Shake Break Bounce	The Chemical Brothers	Simons/The Rowlands	                            Push The Button						                                            Electronica	39705921	224	    1	        1	                9	        11	                2005	26.12.17 16:24	26.12.17 15:46	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:The Chemical Brothers:Push The Button:09 Shake Break Bounce.aif
Marvo Ging	        The Chemical Brothers	Simons/The Rowlands	                            Push The Button						                                            Electronica	57952730	328	    1	        1	                10	        11	                2005	26.12.17 16:24	26.12.17 15:46	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:The Chemical Brothers:Push The Button:10 Marvo Ging.aif
Surface To Air	    The Chemical Brothers	Simons/The Rowlands	                            Push The Button						                                            Electronica	78255198	443	    1	        1	                11	        11	                2005	26.12.17 16:24	26.12.17 15:47	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:The Chemical Brothers:Push The Button:11 Surface To Air.aif