Name	                    Künstler	    Komponist	Album	                    Gruppierung	Werk	Nummer für Satz	Satzzähler	Name für Satz	Genre	Größe	    Dauer	    Disc-Nummer	Anzahl der Discs	Titelnummer	Anzahl der Titel	Jahr	Geändert	    Hinzugefügt	    Datenrate	Abtastrate	Lautstärkeanpassung	Art	            Equalizer	Kommentar	Wiedergaben	Zuletzt gespielt	Übersprungen	Zuletzt übersprungen	Meine Wertung	Ort
Das Wachsfigurenkabinett	The Typhoons		        Von Schulau nach Waikiki						                                            Surf	23454588	132			1	        10	                                                2007	19.08.18 10:42	19.08.18 10:34	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:The Typhoons:Von Schulau nach Waikiki:01 Das Wachsfigurenkabinett.aif
Th Curl Rider	            The Typhoons		        Von Schulau nach Waikiki						                                            Surf	31411392	177			2	        10	                                                2007	19.08.18 10:42	19.08.18 10:34	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:The Typhoons:Von Schulau nach Waikiki:02 Th Curl Rider.aif
Der Flug der Enola Gay	    The Typhoons		        Von Schulau nach Waikiki						                                            Surf	35141674	198			3	        10	                                                2007	19.08.18 10:42	19.08.18 10:34	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:The Typhoons:Von Schulau nach Waikiki:03 Der Flug der Enola Gay.aif
Exodus	                    The Typhoons		        Von Schulau nach Waikiki						                                            Surf	28085658	158			4	        10	                                                2007	19.08.18 10:42	19.08.18 10:34	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:The Typhoons:Von Schulau nach Waikiki:04 Exodus.aif
Suenos Mescal	            The Typhoons		        Von Schulau nach Waikiki						                                            Surf	40304304	228			5	        10	                                                2007	19.08.18 10:42	19.08.18 10:35	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:The Typhoons:Von Schulau nach Waikiki:05 Suenos Mescal.aif
Spion und Spion	            The Typhoons		        Von Schulau nach Waikiki						                                            Surf	19764314	111			6	        10	                                                2007	19.08.18 10:42	19.08.18 10:35	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:The Typhoons:Von Schulau nach Waikiki:06 Spion und Spion.aif
Monsoon	                    The Typhoons		        Von Schulau nach Waikiki						                                            Surf	27572946	155			7	        10	                                                2007	19.08.18 10:42	19.08.18 10:35	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:The Typhoons:Von Schulau nach Waikiki:07 Monsoon.aif
Red painted Horse	        The Typhoons		        Von Schulau nach Waikiki						                                            Surf	27690556	156			8	        10	                                                2007	19.08.18 10:42	19.08.18 10:35	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:The Typhoons:Von Schulau nach Waikiki:08 Red painted Horse.aif
Surfin and Spyin	        The Typhoons		        Von Schulau nach Waikiki						                                            Surf	18611836	105			9	        10	                                                2007	19.08.18 10:42	19.08.18 10:36	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:The Typhoons:Von Schulau nach Waikiki:09 Surfin and Spyin.aif
Ville de Poule	            The Typhoons		        Von Schulau nach Waikiki						                                            Surf	36329451	205			10	        10	                                                2007	19.08.18 10:42	19.08.18 10:36	1411	    44100		                    AIFF-Audiodatei								                                                                                    Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:The Typhoons:Von Schulau nach Waikiki:10 Ville de Poule.aif