Name	                Künstler	            Komponist	                        Album	                        Gruppierung	Werk	Nummer für Satz	Satzzähler	Name für Satz	Genre	Größe	Dauer	Disc-Nummer	Anzahl der Discs	Titelnummer	Anzahl der Titel	Jahr	Geändert	Hinzugefügt	Datenrate	Abtastrate	Lautstärkeanpassung	Art	Equalizer	Kommentar	Wiedergaben	Zuletzt gespielt	Übersprungen	Zuletzt übersprungen	Meine Wertung	Ort,,
Turncoat	            Anti-Flag		                                            Vans Off The Wall Vol. VIII						Alternative	23418876	129			13	27	2005	02.01.18,12:21	02.01.18,12:18	1411	44100		AIFF-Audiodatei								Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Compilations:Vans Off The Wall Vol. VIII:13 Turncoat.aif
My Weapon	            The Applicators		                                        Vans Off The Wall Vol. VIII						Alternative	32130691	179			10	27	2005	02.01.18,12:21	02.01.18,12:18	1411	44100		AIFF-Audiodatei								Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Compilations:Vans Off The Wall Vol. VIII:10 My Weapon.aif
Plastic Lips!	        Aquabats		                                            Vans Off The Wall Vol. VIII						Alternative	29141293	162			2	27	2005	02.01.18,12:21	02.01.18,12:16	1411	44100		AIFF-Audiodatei								Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Compilations:Vans Off The Wall Vol. VIII:02 Plastic Lips!.aif
Binge/Purge	            Death By Stereo		                                        Vans Off The Wall Vol. VIII						Alternative	27584277	153			15	27	2005	02.01.18,12:21	02.01.18,12:19	1411	44100		AIFF-Audiodatei								Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Compilations:Vans Off The Wall Vol. VIII:15 Binge_Purge.aif
Everything Fades To Red	Diamonds Under Fire		                                    Vans Off The Wall Vol. VIII						Alternative	31213426	173			7	27	2005	02.01.18,12:21	02.01.18,12:17	1411	44100		AIFF-Audiodatei								Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Compilations:Vans Off The Wall Vol. VIII:07 Everything Fades To Red.aif
Machine	                The Diffs		                                            Vans Off The Wall Vol. VIII						Alternative	23011979	127			14	27	2005	02.01.18,12:21	02.01.18,12:18	1411	44100		AIFF-Audiodatei								Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Compilations:Vans Off The Wall Vol. VIII:14 Machine.aif
The Auld Triangle	    Dropkick Murphys		                                    Vans Off The Wall Vol. VIII						Alternative	28950793	161			3	27	2005	02.01.18,12:21	02.01.18,12:16	1411	44100		AIFF-Audiodatei								Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Compilations:Vans Off The Wall Vol. VIII:03 The Auld Triangle.aif
No Revolution	        The Explosion		                                        Vans Off The Wall Vol. VIII						Alternative	29748114	165			1	27	2005	02.01.18,12:21	02.01.18,12:16	1411	44100		AIFF-Audiodatei								Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Compilations:Vans Off The Wall Vol. VIII:01 No Revolution.aif
One Twenty	            Eyedea & Abilities		                                    Vans Off The Wall Vol. VIII						Alternative	26248340	145			6	27	2005	02.01.18,12:21	02.01.18,12:17	1411	44100		AIFF-Audiodatei								Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Compilations:Vans Off The Wall Vol. VIII:06 One Twenty.aif
Note To Self	        From First To Last		                                    Vans Off The Wall Vol. VIII						Alternative	42860521	239			27	27	2005	02.01.18,12:21	02.01.18,12:21	1411	44100		AIFF-Audiodatei								Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Compilations:Vans Off The Wall Vol. VIII:27 Note To Self.aif
Bring It On	            HorrorPops		                                            Vans Off The Wall Vol. VIII						Alternative	24131536	133			25	27	2005	02.01.18,12:21	02.01.18,12:20	1411	44100		AIFF-Audiodatei								Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Compilations:Vans Off The Wall Vol. VIII:25 Bring It On.aif
My 62	                Left Alone		                                            Vans Off The Wall Vol. VIII						Alternative	27977047	155			5	27	2005	02.01.18,12:21	02.01.18,12:17	1411	44100		AIFF-Audiodatei								Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Compilations:Vans Off The Wall Vol. VIII:05 My 62.aif
Medicate                The Snake	            Left In Ruins		                Vans Off The Wall Vol. VIII						Alternative	37817831	211			4	27	2005	02.01.18,12:21	02.01.18,12:17	1411	44100		AIFF-Audiodatei								Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Compilations:Vans Off The Wall Vol. VIII:04 Medicate The Snake.aif
Sonora	                Love Equals Death		                                    Vans Off The Wall Vol. VIII						Alternative	40581426	226			26	27	2005	02.01.18,12:21	02.01.18,12:20	1411	44100		AIFF-Audiodatei								Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Compilations:Vans Off The Wall Vol. VIII:26 Sonora.aif
Do That There	        Lyrics Born		                                            Vans Off The Wall Vol. VIII						Alternative	36145555	201			20	27	2005	02.01.18,12:21	02.01.18,12:19	1411	44100		AIFF-Audiodatei								Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Compilations:Vans Off The Wall Vol. VIII:20 Do That There.aif
My Eyes Burn	        Matchbook Romance		                                    Vans Off The Wall Vol. VIII						Alternative	37954248	212			24	27	2005	02.01.18,12:21	02.01.18,12:20	1411	44100		AIFF-Audiodatei								Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Compilations:Vans Off The Wall Vol. VIII:24 My Eyes Burn.aif
Borderline Creep	    The Matches		                                            Vans Off The Wall Vol. VIII						Alternative	27713638	154			11	27	2005	02.01.18,12:21	02.01.18,12:18	1411	44100		AIFF-Audiodatei								Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Compilations:Vans Off The Wall Vol. VIII:11 Borderline Creep.aif
Biftek Supernova	    Millencolin		                                            Vans Off The Wall Vol. VIII						Alternative	24637222	136			18	27	2005	02.01.18,12:21	02.01.18,12:19	1411	44100		AIFF-Audiodatei								Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Compilations:Vans Off The Wall Vol. VIII:18 Biftek Supernova.aif
Better Open The Door	Motion City Soundtrack		                                Vans Off The Wall Vol. VIII						Alternative	32158933	179			22	27	2005	02.01.18,12:21	02.01.18,12:20	1411	44100		AIFF-Audiodatei								Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Compilations:Vans Off The Wall Vol. VIII:22 Better Open The Door.aif
Yell Out	            Pennywise		                                            Vans Off The Wall Vol. VIII						Alternative	27593676	153			19	27	2005	02.01.18,12:21	02.01.18,12:19	1411	44100		AIFF-Audiodatei								Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Compilations:Vans Off The Wall Vol. VIII:19 Yell Out.aif
The Sinking	            Radio Vago		                                            Vans Off The Wall Vol. VIII						Alternative	38245888	213			21	27	2005	02.01.18,12:21	02.01.18,12:19	1411	44100		AIFF-Audiodatei								Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Compilations:Vans Off The Wall Vol. VIII:21 The Sinking.aif
Say Goodbye	            Redfield		                                            Vans Off The Wall Vol. VIII						Alternative	34282766	191			12	27	2005	02.01.18,12:21	02.01.18,12:18	1411	44100		AIFF-Audiodatei								Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Compilations:Vans Off The Wall Vol. VIII:12 Say Goodbye.aif
PCE	                    Spider		                                                Vans Off The Wall Vol. VIII						Alternative	31502692	175			16	27	2005	02.01.18,12:21	02.01.18,12:19	1411	44100		AIFF-Audiodatei								Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Compilations:Vans Off The Wall Vol. VIII:16 PCE.aif
Adlibbing               The Most Profound Statement	ｓｔａｒｌｅｓｓ　ｎｉｇｈｔ		   Vans Off The Wall Vol. VIII					   Alternative	40322751	225			23	27	2005	02.01.18,12:21	02.01.18,12:20	1411	44100		AIFF-Audiodatei								Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Compilations:Vans Off The Wall Vol. VIII:23 Adlibbing The Most Profound Statement.aif
Gata Negro	            Supersuckers		                                        Vans Off The Wall Vol. VIII						Alternative	28080542	156			9	27	2005	02.01.18,12:21	02.01.18,12:18	1411	44100		AIFF-Audiodatei								Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Compilations:Vans Off The Wall Vol. VIII:09 Gata Negro.aif
Force-Fed	            The Unseen		                                            Vans Off The Wall Vol. VIII						Alternative	23393006	129			17	27	2005	02.01.18,12:21	02.01.18,12:19	1411	44100		AIFF-Audiodatei								Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Compilations:Vans Off The Wall Vol. VIII:17 Force-Fed.aif
Someone Else's Dream	Youth Group		                                            Vans Off The Wall Vol. VIII						Alternative	27292631	151			8	27	2005	02.01.18,12:21	02.01.18,12:17	1411	44100		AIFF-Audiodatei								Macintosh HD:Users:stefan:Music:iTunes:iTunes Media:Music:Compilations:Vans Off The Wall Vol. VIII:08 Someone Else's Dream.aif